ID,ClassificationID,ClassificationCode,Classification,Discipline,Position
2624,35.0,ARC_S,Acradis PAA Salary,Road Civil,Road Delivery Manager
2625,35.0,ARC_S,Acradis PAA Salary,Road Civil,Graduate Engineer
2626,35.0,ARC_S,Acradis PAA Salary,Road Civil,Graduate engineer
2627,35.0,ARC_S,Acradis PAA Salary,Drainage,S1T / N5T Modeller
2628,35.0,ARC_S,Acradis PAA Salary,Lighting,Electrical Engineer
2629,35.0,ARC_S,Acradis PAA Salary,,ITS
2630,35.0,ARC_S,Acradis PAA Salary,,
2631,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotechnical Engineer
2632,35.0,ARC_S,Acradis PAA Salary,Structures,Engineer
2633,35.0,ARC_S,Acradis PAA Salary,Structures,Bridge Modeler
2634,35.0,ARC_S,Acradis PAA Salary,Structures,Bridge Package Lead
2635,35.0,ARC_S,Acradis PAA Salary,Structures,Engineer 2
2636,35.0,ARC_S,Acradis PAA Salary,Structures,Civil Structures - Bridges - Team 6
2637,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
